agent,seed,sticky_target,max_carry,urgent_threshold,score_mean,score_std,steps_mean,steps_std,deliveries_mean
smart,2,False,1.0,7.0,-7.8,59.56257214056492,187.2,11.966620241321273,6.0
smart,2,False,1.0,10.0,-69.8,93.85467489688513,197.0,24.413111231467404,6.0
smart,2,False,1.0,15.0,13.2,48.1269155462928,180.2,14.11382301150188,6.0
smart,2,False,2.0,7.0,-54.2,80.45930648470691,200.6,14.570518178843194,6.0
smart,2,False,2.0,10.0,-16.2,90.1204749210744,190.8,24.803225596683994,6.0
smart,2,False,2.0,15.0,-136.6,90.02943962949008,218.0,18.708286933869708,6.0
smart,2,False,3.0,7.0,0.2,78.74134873114633,192.6,21.582400237230335,6.0
smart,2,False,3.0,10.0,-3.2,93.88397094286117,185.0,25.079872407968907,6.0
smart,2,False,3.0,15.0,17.0,88.49293757131132,183.2,25.400787389370432,6.0
smart,2,True,1.0,7.0,29.0,73.38937252763509,176.6,15.15915564930976,6.0
smart,2,True,1.0,10.0,60.6,66.34606243026032,171.6,15.257784898208522,6.0
smart,2,True,1.0,15.0,8.0,32.42684073418192,186.6,7.668115805072325,6.0
smart,2,True,2.0,7.0,14.4,75.56652698119717,190.0,24.819347291981714,6.0
smart,2,True,2.0,10.0,28.8,66.09614209619197,176.0,18.05547008526779,6.0
smart,2,True,2.0,15.0,-1.0,69.19176251549024,187.4,19.944924166313594,6.0
smart,2,True,3.0,7.0,-47.0,48.0364444979018,192.2,20.129580224137808,6.0
smart,2,True,3.0,10.0,-53.2,49.13450925775081,192.6,12.837445228704969,6.0
smart,2,True,3.0,15.0,-7.0,39.566399886772615,183.6,13.740451229854134,6.0
smart,5,False,1.0,7.0,0.6,153.21814513953626,181.8,35.11694747554235,6.0
smart,5,False,1.0,10.0,-51.0,119.42570912496187,193.4,29.888124732073777,6.0
smart,5,False,1.0,15.0,11.6,144.0878204429507,183.4,35.23208764748407,6.0
smart,5,False,2.0,7.0,-46.8,124.7565629536178,194.4,25.579288496750646,6.0
smart,5,False,2.0,10.0,-59.0,84.27336471270148,197.6,17.111399708965948,6.0
smart,5,False,2.0,15.0,-50.2,90.92414420823548,201.0,14.265342617687105,6.0
smart,5,False,3.0,7.0,-97.0,86.99137888319738,204.0,20.024984394500787,6.0
smart,5,False,3.0,10.0,-41.4,117.5895403511724,197.0,19.065675964937622,6.0
smart,5,False,3.0,15.0,-51.2,67.73256233156988,202.8,12.45792920191795,6.0
smart,5,True,1.0,7.0,71.6,77.50354830586791,158.8,22.99347733597509,6.0
smart,5,True,1.0,10.0,-59.0,113.15476127852509,201.6,25.115732121520963,6.0
smart,5,True,1.0,15.0,56.6,99.79128218436719,171.4,38.095931541307664,6.0
smart,5,True,2.0,7.0,-82.4,94.3069456614941,206.8,20.2163300329214,6.0
